period,year,month,age_group,item,value,unit,item_order,age_order,table_id,table_name
201005,2010,5,55~79세 전체,고령층인구,9430.2,천명,0,0,DT_1DE8031S,연령별 경제활동상태
201105,2011,5,55~79세 전체,고령층인구,9891.1,천명,0,0,DT_1DE8031S,연령별 경제활동상태
201205,2012,5,55~79세 전체,고령층인구,10348.4,천명,0,0,DT_1DE8031S,연령별 경제활동상태
201305,2013,5,55~79세 전체,고령층인구,10844.5,천명,0,0,DT_1DE8031S,연령별 경제활동상태
201405,2014,5,55~79세 전체,고령층인구,11327.8,천명,0,0,DT_1DE8031S,연령별 경제활동상태
201505,2015,5,55~79세 전체,고령층인구,11806.5,천명,0,0,DT_1DE8031S,연령별 경제활동상태
201605,2016,5,55~79세 전체,고령층인구,12437.9,천명,0,0,DT_1DE8031S,연령별 경제활동상태
201705,2017,5,55~79세 전체,고령층인구,12929.4,천명,0,0,DT_1DE8031S,연령별 경제활동상태
201805,2018,5,55~79세 전체,고령층인구,13441.1,천명,0,0,DT_1DE8031S,연령별 경제활동상태
201905,2019,5,55~79세 전체,고령층인구,13843.2,천명,0,0,DT_1DE8031S,연령별 경제활동상태
202005,2020,5,55~79세 전체,고령층인구,14271.4,천명,0,0,DT_1DE8031S,연령별 경제활동상태
202105,2021,5,55~79세 전체,고령층인구,14765.6,천명,0,0,DT_1DE8031S,연령별 경제활동상태
202205,2022,5,55~79세 전체,고령층인구,15097.6,천명,0,0,DT_1DE8031S,연령별 경제활동상태
202305,2023,5,55~79세 전체,고령층인구,15481.3,천명,0,0,DT_1DE8031S,연령별 경제활동상태
202405,2024,5,55~79세 전체,고령층인구,15982.9,천명,0,0,DT_1DE8031S,연령별 경제활동상태
202505,2025,5,55~79세 전체,고령층인구,16446.8,천명,0,0,DT_1DE8031S,연령별 경제활동상태
201005,2010,5,55~64세,고령층인구,4989.1,천명,0,1,DT_1DE8031S,연령별 경제활동상태
201105,2011,5,55~64세,고령층인구,5321.7,천명,0,1,DT_1DE8031S,연령별 경제활동상태
201205,2012,5,55~64세,고령층인구,5584.1,천명,0,1,DT_1DE8031S,연령별 경제활동상태
201305,2013,5,55~64세,고령층인구,5861.5,천명,0,1,DT_1DE8031S,연령별 경제활동상태
201405,2014,5,55~64세,고령층인구,6193.7,천명,0,1,DT_1DE8031S,연령별 경제활동상태
201505,2015,5,55~64세,고령층인구,6581.6,천명,0,1,DT_1DE8031S,연령별 경제활동상태
201605,2016,5,55~64세,고령층인구,7055.7,천명,0,1,DT_1DE8031S,연령별 경제활동상태
201705,2017,5,55~64세,고령층인구,7354.3,천명,0,1,DT_1DE8031S,연령별 경제활동상태
201805,2018,5,55~64세,고령층인구,7676.4,천명,0,1,DT_1DE8031S,연령별 경제활동상태
201905,2019,5,55~64세,고령층인구,7883.0,천명,0,1,DT_1DE8031S,연령별 경제활동상태
202005,2020,5,55~64세,고령층인구,8020.5,천명,0,1,DT_1DE8031S,연령별 경제활동상태
202105,2021,5,55~64세,고령층인구,8155.6,천명,0,1,DT_1DE8031S,연령별 경제활동상태
202205,2022,5,55~64세,고령층인구,8241.5,천명,0,1,DT_1DE8031S,연령별 경제활동상태
202305,2023,5,55~64세,고령층인구,8302.3,천명,0,1,DT_1DE8031S,연령별 경제활동상태
202405,2024,5,55~64세,고령층인구,8411.8,천명,0,1,DT_1DE8031S,연령별 경제활동상태
202505,2025,5,55~64세,고령층인구,8418.2,천명,0,1,DT_1DE8031S,연령별 경제활동상태
201005,2010,5,65~79세,고령층인구,4441.1,천명,0,2,DT_1DE8031S,연령별 경제활동상태
201105,2011,5,65~79세,고령층인구,4569.3,천명,0,2,DT_1DE8031S,연령별 경제활동상태
201205,2012,5,65~79세,고령층인구,4764.2,천명,0,2,DT_1DE8031S,연령별 경제활동상태
201305,2013,5,65~79세,고령층인구,4983.0,천명,0,2,DT_1DE8031S,연령별 경제활동상태
201405,2014,5,65~79세,고령층인구,5134.1,천명,0,2,DT_1DE8031S,연령별 경제활동상태
201505,2015,5,65~79세,고령층인구,5224.9,천명,0,2,DT_1DE8031S,연령별 경제활동상태
201605,2016,5,65~79세,고령층인구,5382.2,천명,0,2,DT_1DE8031S,연령별 경제활동상태
201705,2017,5,65~79세,고령층인구,5575.1,천명,0,2,DT_1DE8031S,연령별 경제활동상태
201805,2018,5,65~79세,고령층인구,5764.7,천명,0,2,DT_1DE8031S,연령별 경제활동상태
201905,2019,5,65~79세,고령층인구,5960.2,천명,0,2,DT_1DE8031S,연령별 경제활동상태
202005,2020,5,65~79세,고령층인구,6250.9,천명,0,2,DT_1DE8031S,연령별 경제활동상태
202105,2021,5,65~79세,고령층인구,6610.0,천명,0,2,DT_1DE8031S,연령별 경제활동상태
202205,2022,5,65~79세,고령층인구,6856.1,천명,0,2,DT_1DE8031S,연령별 경제활동상태
202305,2023,5,65~79세,고령층인구,7178.9,천명,0,2,DT_1DE8031S,연령별 경제활동상태
202405,2024,5,65~79세,고령층인구,7571.1,천명,0,2,DT_1DE8031S,연령별 경제활동상태
202505,2025,5,65~79세,고령층인구,8028.6,천명,0,2,DT_1DE8031S,연령별 경제활동상태
201005,2010,5,55~79세 전체,경제활동인구,4872.1,천명,1,0,DT_1DE8031S,연령별 경제활동상태
201105,2011,5,55~79세 전체,경제활동인구,5164.6,천명,1,0,DT_1DE8031S,연령별 경제활동상태
201205,2012,5,55~79세 전체,경제활동인구,5540.0,천명,1,0,DT_1DE8031S,연령별 경제활동상태
201305,2013,5,55~79세 전체,경제활동인구,5872.1,천명,1,0,DT_1DE8031S,연령별 경제활동상태
201405,2014,5,55~79세 전체,경제활동인구,6266.5,천명,1,0,DT_1DE8031S,연령별 경제활동상태
201505,2015,5,55~79세 전체,경제활동인구,6541.5,천명,1,0,DT_1DE8031S,연령별 경제활동상태
201605,2016,5,55~79세 전체,경제활동인구,6890.1,천명,1,0,DT_1DE8031S,연령별 경제활동상태
201705,2017,5,55~79세 전체,경제활동인구,7287.3,천명,1,0,DT_1DE8031S,연령별 경제활동상태
